elof_vals	prophi_vals	logprob	prob
6.75	247	-73.5575199483453	1.13337853667966e-32
7	247	-72.367755978169	3.7246280617083e-32
7.25	247	-71.6167348166252	7.89309367829501e-32
7.5	247	-70.543527232893	2.3085292880272e-31
7.75	247	-69.7304038822251	5.20559495781502e-31
8	247	-68.628662749221	1.566572388369e-30
8.25	247	-67.9526858056223	3.07980715865501e-30
8.5	247	-66.4609822383895	1.36886983089694e-29
8.75	247	-66.4900505059938	1.32965191619556e-29
9	247	-64.7978409971	7.22196227866875e-29
9.25	247	-63.6993186068246	2.16639391951477e-28
9.5	247	-63.0681954085459	4.07221547981267e-28
9.75	247	-62.2521063615322	9.2098746714843e-28
10	247	-61.3778168364591	2.20776496200184e-27
10.25	247	-61.3383765670982	2.29657973346953e-27
10.5	247	-59.682015502377	1.20345539577953e-26
10.75	247	-58.216062984515	5.21296834438395e-26
11	247	-57.2910180347015	1.31470103523362e-25
11.25	247	-56.8930333068169	1.95735489424239e-25
11.5	247	-56.8374103154184	2.06931370625483e-25
